Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,1,Miss,1,19.0,0,2,26.2833,D,S
0,1,Mr,0,37.0,1,0,53.1,C,S
0,3,Mr,0,16.0,0,0,9.2167,,S
0,1,Mr,0,24.0,0,0,79.2,B,C
0,3,Mrs,1,,0,2,15.2458,,C
1,3,Miss,1,22.0,0,0,7.75,,S
1,3,Mrs,1,24.0,1,0,15.85,,S
0,3,Mr,0,19.0,0,0,6.75,,Q
0,2,Mr,0,18.0,0,0,11.5,,S
0,2,Mr,0,19.0,1,1,36.75,,S
1,3,Mr,0,27.0,0,0,7.7958,,S
0,3,Miss,1,9.0,2,2,34.375,,S
0,2,Mr,0,36.5,0,2,26.0,F,S
0,2,Rev,0,42.0,0,0,13.0,,S
0,2,Rev,0,51.0,0,0,12.525,,S
1,1,Mrs,1,22.0,1,0,66.6,C,S
0,3,Mr,0,55.5,0,0,8.05,,S
0,3,Mr,0,40.5,0,2,14.5,,S
0,3,Mr,0,,0,0,7.3125,,S
0,1,Mr,0,51.0,0,1,61.3792,,C
1,3,Miss,1,16.0,0,0,7.7333,,Q
0,3,Mr,0,30.0,0,0,8.05,,S
0,3,Mr,0,,0,0,8.6625,,S
0,3,Master,0,,8,2,69.55,,S
0,3,Mr,0,44.0,0,1,16.1,,S
1,2,Mrs,1,40.0,0,0,15.75,,S
0,3,Mr,0,26.0,0,0,7.775,,S
0,3,Mr,0,17.0,0,0,8.6625,,S
0,3,Master,0,1.0,4,1,39.6875,,S
1,3,Master,0,9.0,0,2,20.525,,S
1,1,Mrs,1,,0,1,55.0,E,S
0,3,Mrs,1,45.0,1,4,27.9,,S
0,1,Mr,0,,0,0,25.925,,S
0,3,Mr,0,28.0,0,0,56.4958,,S
0,1,Mr,0,61.0,0,0,33.5,B,S
0,3,Master,0,4.0,4,1,29.125,,Q
1,3,Miss,1,1.0,1,1,11.1333,,S
0,3,Mr,0,21.0,0,0,7.925,,S
0,1,Mr,0,56.0,0,0,30.6958,A,C
0,3,Mr,0,18.0,1,1,7.8542,,S
0,3,Master,0,,3,1,25.4667,,S
0,1,Miss,1,50.0,0,0,28.7125,C,C
0,2,Mr,0,30.0,0,0,13.0,,S
0,3,Mr,0,36.0,0,0,0.0,,S
0,3,Miss,1,,8,2,69.55,,S
0,2,Mr,0,,0,0,15.05,,C
0,3,Master,0,9.0,4,2,31.3875,,S
1,2,Master,0,1.0,2,1,39.0,F,S
1,3,Miss,1,4.0,0,2,22.025,,S
0,1,Mr,0,,0,0,50.0,A,S
1,3,Mrs,1,,1,0,15.5,,Q
1,1,Mr,0,45.0,0,0,26.55,,S
0,3,Mr,0,40.0,1,1,15.5,,Q
0,3,Mr,0,36.0,0,0,7.8958,,S
1,2,Mrs,1,32.0,0,0,13.0,,S
0,2,Mr,0,19.0,0,0,13.0,,S
1,3,Miss,1,19.0,1,0,7.8542,,S
1,2,Master,0,3.0,1,1,26.0,F,S
1,1,Mrs,1,44.0,0,0,27.7208,B,C
1,1,Miss,1,58.0,0,0,146.5208,B,C
0,3,Mr,0,,0,0,7.75,,Q
0,3,Mr,0,42.0,0,1,8.4042,,S
1,3,Miss,1,,0,0,7.75,,Q
0,2,Miss,1,24.0,0,0,13.0,,S
0,3,Mr,0,28.0,0,0,9.5,,S
0,3,Mr,0,,8,2,69.55,,S
0,3,Mr,0,34.0,0,0,6.4958,,S
0,3,Mr,0,45.5,0,0,7.225,,C
1,3,Mr,0,18.0,0,0,8.05,,S
0,3,Miss,1,2.0,0,1,10.4625,G,S
0,3,Mr,0,32.0,1,0,15.85,,S
1,3,Mr,0,26.0,0,0,18.7875,,C
1,3,Miss,1,16.0,0,0,7.75,,Q
1,1,Mr,0,40.0,0,0,31.0,A,C
0,3,Mr,0,24.0,0,0,7.05,,S
1,2,Miss,1,35.0,0,0,21.0,,S
0,3,Mr,0,22.0,0,0,7.25,,S
0,2,Mr,0,30.0,0,0,13.0,,S
0,3,Mr,0,,1,0,7.75,,Q
1,1,Miss,1,31.0,1,0,113.275,D,C
1,3,Miss,1,27.0,0,0,7.925,,S
0,2,Mr,0,42.0,1,0,27.0,,S
1,1,Miss,1,32.0,0,0,76.2917,D,C
0,2,Mr,0,30.0,0,0,10.5,,S
1,3,Mr,0,16.0,0,0,8.05,,S
0,2,Mr,0,27.0,0,0,13.0,,S
0,3,Mr,0,51.0,0,0,8.05,,S
0,3,Mr,0,,0,0,7.8958,,S
1,1,Mr,0,38.0,1,0,90.0,C,S
0,3,Mr,0,22.0,0,0,9.35,,S
1,2,Mr,0,19.0,0,0,10.5,,S
0,3,Mr,0,20.5,0,0,7.25,,S
0,2,Mr,0,18.0,0,0,13.0,,S
0,3,Miss,1,,3,1,25.4667,,S
1,1,Mrs,1,35.0,1,0,83.475,C,S
0,3,Mr,0,29.0,0,0,7.775,,S
0,2,Mr,0,59.0,0,0,13.5,,S
1,3,Miss,1,5.0,4,2,31.3875,,S
0,2,Mr,0,24.0,0,0,10.5,,S
0,3,Miss,1,,0,0,7.55,,S
0,2,Mr,0,44.0,1,0,26.0,,S
1,2,Miss,1,8.0,0,2,26.25,,S
0,2,Mr,0,19.0,0,0,10.5,,S
0,2,Mr,0,33.0,0,0,12.275,,S
0,3,Miss,1,,1,0,14.4542,,C
1,3,Miss,1,,1,0,15.5,,Q
0,2,Mr,0,29.0,0,0,10.5,,S
0,3,Mr,0,22.0,0,0,7.125,,S
0,3,Mr,0,30.0,0,0,7.225,,C
0,1,Dr,0,44.0,2,0,90.0,C,Q
0,3,Miss,1,25.0,0,0,7.775,,S
1,2,Mrs,1,24.0,0,2,14.5,,S
1,1,Mr,0,37.0,1,1,52.5542,D,S
0,2,Rev,0,54.0,1,0,26.0,,S
0,3,Mr,0,,0,0,7.25,,S
0,3,Mrs,1,29.0,1,1,10.4625,G,S
0,1,Mr,0,62.0,0,0,26.55,C,S
0,3,Mr,0,30.0,1,0,16.1,,S
0,3,Mrs,1,41.0,0,2,20.2125,,S
1,3,Mrs,1,29.0,0,2,15.2458,,C
1,1,Mrs,1,,0,0,79.2,,C
1,1,Miss,1,30.0,0,0,86.5,B,S
1,1,Miss,1,35.0,0,0,512.3292,,C
1,2,Mrs,1,50.0,0,1,26.0,,S
0,3,Mr,0,,0,0,7.75,,Q
1,3,Master,0,3.0,4,2,31.3875,,S
0,1,Mr,0,52.0,1,1,79.65,E,S
0,1,Mr,0,40.0,0,0,0.0,B,S
0,3,Miss,1,,0,0,7.75,,Q
0,2,Mr,0,36.0,0,0,10.5,,S
0,3,Mr,0,16.0,4,1,39.6875,,S
1,3,Mr,0,25.0,1,0,7.775,,S
1,1,Mrs,1,58.0,0,1,153.4625,C,S
1,1,Miss,1,35.0,0,0,135.6333,C,S
0,1,Mr,0,,0,0,31.0,,S
1,3,Mr,0,25.0,0,0,0.0,,S
1,2,Mrs,1,41.0,0,1,19.5,,S
0,1,Mr,0,37.0,0,1,29.7,C,C
1,3,Miss,1,,0,0,7.75,,Q
1,1,Miss,1,63.0,1,0,77.9583,D,S
0,3,Miss,1,45.0,0,0,7.75,,S
0,2,Mr,0,,0,0,0.0,,S
0,3,Master,0,7.0,4,1,29.125,,Q
1,3,Mrs,1,35.0,1,1,20.25,,S
0,3,Mr,0,65.0,0,0,7.75,,Q
0,3,Mr,0,28.0,0,0,7.8542,,S
0,3,Mr,0,16.0,0,0,9.5,,S
1,3,Mr,0,19.0,0,0,8.05,,S
0,1,Mr,0,,0,0,26.0,A,S
0,3,Mr,0,33.0,0,0,8.6625,,C
1,3,Mr,0,30.0,0,0,9.5,,S
0,3,Mr,0,22.0,0,0,7.8958,,S
1,2,Mr,0,42.0,0,0,13.0,,S
1,3,Miss,1,22.0,0,0,7.75,,Q
1,1,Miss,1,26.0,0,0,78.85,,S
1,1,Mrs,1,19.0,1,0,91.0792,B,C
0,2,Mr,0,36.0,0,0,12.875,D,C
0,3,Miss,1,24.0,0,0,8.85,,S
0,3,Mr,0,24.0,0,0,7.8958,,S
0,1,Mr,0,,0,0,27.7208,,C
0,3,Mr,0,23.5,0,0,7.2292,,C
0,1,Miss,1,2.0,1,2,151.55,C,S
1,1,Mr,0,,0,0,30.5,C,S
1,1,Mrs,1,50.0,0,1,247.5208,B,C
1,3,Miss,1,,0,0,7.75,,Q
1,3,Mr,0,,2,0,23.25,,Q
0,3,Mr,0,19.0,0,0,0.0,,S
1,2,Miss,1,,0,0,12.35,E,Q
0,3,Mr,0,,0,0,8.05,,S
1,1,Master,0,0.92,1,2,151.55,C,S
1,1,Miss,1,,0,0,110.8833,,C
1,1,Mrs,1,17.0,1,0,108.9,C,C
0,2,Mr,0,30.0,1,0,24.0,,C
1,1,Miss,1,30.0,0,0,56.9292,E,C
1,1,Miss,1,24.0,0,0,83.1583,C,C
1,1,Miss,1,18.0,2,2,262.375,B,C
0,2,Mrs,1,26.0,1,1,26.0,,S
0,3,Mr,0,28.0,0,0,7.8958,,S
0,2,Mr,0,43.0,1,1,26.25,,S
1,3,Miss,1,26.0,0,0,7.8542,,S
1,2,Mrs,1,24.0,1,0,26.0,,S
0,2,Dr,0,54.0,0,0,14.0,,S
1,1,Miss,1,31.0,0,2,164.8667,C,S
1,1,Mrs,1,40.0,1,1,134.5,E,C
0,3,Mr,0,22.0,0,0,7.25,,S
0,3,Mr,0,27.0,0,0,7.8958,,S
1,2,Miss,1,30.0,0,0,12.35,,Q
1,2,Mrs,1,22.0,1,1,29.0,,S
0,3,Mr,0,,8,2,69.55,,S
1,1,Miss,1,36.0,0,0,135.6333,C,C
0,3,Mr,0,61.0,0,0,6.2375,,S
1,2,Mrs,1,36.0,0,0,13.0,D,S
1,3,Mrs,1,31.0,1,1,20.525,,S
1,1,Miss,1,16.0,0,1,57.9792,B,C
1,3,Miss,1,,2,0,23.25,,Q
0,1,Mr,0,45.5,0,0,28.5,C,S
0,1,Mr,0,38.0,0,1,153.4625,C,S
0,3,Mr,0,16.0,2,0,18.0,,S
1,1,Mrs,1,,1,0,133.65,,S
0,3,Mr,0,,0,0,7.8958,,S
0,1,Mr,0,29.0,1,0,66.6,C,S
1,1,Miss,1,41.0,0,0,134.5,E,C
1,3,Mr,0,45.0,0,0,8.05,,S
0,1,Mr,0,45.0,0,0,35.5,T,S
1,2,Master,0,2.0,1,1,26.0,F,S
1,1,Miss,1,24.0,3,2,263.0,C,S
0,2,Mr,0,28.0,0,0,13.0,,S
0,2,Mr,0,25.0,0,0,13.0,,S
0,2,Mr,0,36.0,0,0,13.0,,S
1,2,Miss,1,24.0,0,0,13.0,F,S
1,2,Miss,1,40.0,0,0,13.0,,S
1,3,Mrs,1,,1,0,16.1,,S
1,3,Master,0,3.0,1,1,15.9,,S
0,3,Mr,0,42.0,0,0,8.6625,,S
0,3,Mr,0,23.0,0,0,9.225,,S
0,1,Mr,0,,0,0,35.0,C,S
0,3,Mr,0,15.0,1,1,7.2292,,C
0,3,Mr,0,25.0,1,0,17.8,,S
0,3,Mr,0,,0,0,7.225,,C
0,3,Mr,0,28.0,0,0,9.5,,S
1,1,Miss,1,22.0,0,1,55.0,E,S
0,2,Miss,1,38.0,0,0,13.0,,S
1,3,Miss,1,,0,0,7.8792,,Q
1,3,Miss,1,,0,0,7.8792,,Q
0,3,Mr,0,40.0,1,4,27.9,,S
0,2,Mr,0,29.0,1,0,27.7208,,C
0,3,Mrs,1,45.0,0,1,14.4542,,C
0,3,Mr,0,35.0,0,0,7.05,,S
0,3,Mr,0,,1,0,15.5,,Q
0,3,Mr,0,30.0,0,0,7.25,,S
1,1,Mrs,1,60.0,1,0,75.25,D,C
1,3,Mrs,1,,0,0,7.2292,,C
1,3,Miss,1,,0,0,7.75,,Q
1,1,Mrs,1,24.0,0,0,69.3,B,C
1,1,Mr,0,25.0,1,0,55.4417,E,C
0,3,Mr,0,18.0,1,0,6.4958,,S
0,3,Mr,0,19.0,0,0,8.05,,S
0,1,Mr,0,22.0,0,0,135.6333,,C
0,3,Miss,1,3.0,3,1,21.075,,S
1,1,Mrs,1,,1,0,82.1708,,C
1,3,Miss,1,22.0,0,0,7.25,,S
0,1,Mr,0,27.0,0,2,211.5,C,C
0,3,Mr,0,20.0,0,0,4.0125,,C
0,3,Mr,0,19.0,0,0,7.775,,S
1,1,Miss,1,42.0,0,0,227.525,,C
1,3,Miss,1,1.0,0,2,15.7417,,C
0,3,Mr,0,32.0,0,0,7.925,,S
1,1,Mrs,1,35.0,1,0,52.0,,S
0,3,Mr,0,,0,0,7.8958,,S
0,2,Mr,0,18.0,0,0,73.5,,S
0,3,Master,0,1.0,5,2,46.9,,S
1,2,Miss,1,36.0,0,0,13.0,,S
0,3,Mr,0,,0,0,7.7292,,Q
1,2,Miss,1,17.0,0,0,12.0,,C
1,1,Mr,0,36.0,1,2,120.0,B,S
1,3,Mr,0,21.0,0,0,7.7958,,S
0,3,Mr,0,28.0,2,0,7.925,,S
1,1,Miss,1,23.0,1,0,113.275,D,C
1,3,Mrs,1,24.0,0,2,16.7,G,S
0,3,Mr,0,22.0,0,0,7.7958,,S
0,3,Miss,1,31.0,0,0,7.8542,,S
0,2,Mr,0,46.0,0,0,26.0,,S
0,2,Dr,0,23.0,0,0,10.5,,S
1,2,Mrs,1,28.0,0,0,12.65,,S
1,3,Mr,0,39.0,0,0,7.925,,S
0,3,Mr,0,26.0,0,0,8.05,,S
0,3,Miss,1,21.0,1,0,9.825,,S
0,3,Mr,0,28.0,1,0,15.85,,S
0,3,Miss,1,20.0,0,0,8.6625,,S
0,2,Mr,0,34.0,1,0,21.0,,S
0,3,Mr,0,51.0,0,0,7.75,,S
1,2,Master,0,3.0,1,1,18.75,,S
0,3,Mr,0,21.0,0,0,7.775,,S
0,3,Miss,1,,3,1,25.4667,,S
0,3,Mr,0,,0,0,7.8958,,S
0,3,Mr,0,,0,0,6.8583,,Q
1,1,Miss,1,33.0,1,0,90.0,C,Q
0,2,Mr,0,,0,0,0.0,,S
1,3,Mr,0,44.0,0,0,7.925,,S
0,3,Mrs,1,,0,0,8.05,,S
1,2,Mrs,1,34.0,1,1,32.5,,S
1,2,Miss,1,18.0,0,2,13.0,,S
0,2,Mr,0,30.0,0,0,13.0,,S
0,3,Miss,1,10.0,0,2,24.15,,S
0,3,Mr,0,,0,0,7.8958,,C
0,3,Mr,0,21.0,0,0,7.7333,,Q
0,3,Mr,0,29.0,0,0,7.875,,S
0,3,Mrs,1,28.0,1,1,14.4,,S
0,3,Mr,0,18.0,1,1,20.2125,,S
0,3,Mr,0,,0,0,7.25,,S
1,2,Mrs,1,28.0,1,0,26.0,,S
1,2,Miss,1,19.0,0,0,26.0,,S
0,3,Mr,0,,0,0,7.75,,Q
1,3,Mr,0,32.0,0,0,8.05,E,S
1,1,Mr,0,28.0,0,0,26.55,C,S
1,3,Mrs,1,,1,0,16.1,,S
1,2,Mrs,1,42.0,1,0,26.0,,S
0,3,Mr,0,17.0,0,0,7.125,,S
0,1,Mr,0,50.0,1,0,55.9,E,S
1,1,Miss,1,14.0,1,2,120.0,B,S
0,3,Miss,1,21.0,2,2,34.375,,S
1,2,Mrs,1,24.0,2,3,18.75,,S
0,1,Mr,0,64.0,1,4,263.0,C,S
0,2,Mr,0,31.0,0,0,10.5,,S
1,2,Mrs,1,45.0,1,1,26.25,,S
0,3,Mr,0,20.0,0,0,9.5,,S
0,3,Mr,0,25.0,1,0,7.775,,S
1,2,Miss,1,28.0,0,0,13.0,,S
1,3,Mr,0,,0,0,8.1125,,S
1,1,Master,0,4.0,0,2,81.8583,A,S
1,2,Miss,1,13.0,0,1,19.5,,S
1,1,Mr,0,34.0,0,0,26.55,,S
1,3,Miss,1,5.0,2,1,19.2583,,C
1,1,Military,0,52.0,0,0,30.5,C,S
0,2,Mr,0,36.0,1,2,27.75,,S
0,3,Mr,0,,1,0,19.9667,,S
0,1,Mr,0,30.0,0,0,27.75,C,C
1,1,Mr,0,49.0,1,0,89.1042,C,C
0,3,Mr,0,,0,0,8.05,,S
1,3,Mr,0,29.0,0,0,7.8958,,C
0,1,Mr,0,65.0,0,0,26.55,E,S
1,1,Mrs,1,,1,0,51.8625,D,S
1,2,Miss,1,50.0,0,0,10.5,,S
0,3,Mr,0,,0,0,7.75,,Q
1,1,Mr,0,48.0,0,0,26.55,E,S
0,3,Mr,0,34.0,0,0,8.05,,S
0,1,Mr,0,47.0,0,0,38.5,E,S
0,2,Mr,0,48.0,0,0,13.0,,S
0,3,Mr,0,,0,0,8.05,,S
0,3,Mr,0,38.0,0,0,7.05,,S
0,2,Mr,0,,0,0,0.0,,S
0,1,Mr,0,56.0,0,0,26.55,,S
0,3,Mr,0,,0,0,7.725,,Q
1,3,Miss,1,0.75,2,1,19.2583,,C
0,3,Mr,0,,0,0,7.25,,S
0,3,Mr,0,38.0,0,0,8.6625,,S
1,2,Mrs,1,33.0,1,2,27.75,,S
1,2,Mrs,1,23.0,0,0,13.7917,D,C
0,3,Miss,1,22.0,0,0,9.8375,,S
0,1,Mr,0,,0,0,52.0,A,S
0,2,Mr,0,34.0,1,0,21.0,,S
0,3,Mr,0,29.0,1,0,7.0458,,S
0,3,Mr,0,22.0,0,0,7.5208,,S
1,3,Miss,1,2.0,0,1,12.2875,,S
0,3,Master,0,9.0,5,2,46.9,,S
0,2,Mr,0,,0,0,0.0,,S
0,3,Mr,0,50.0,0,0,8.05,,S
1,3,Mrs,1,63.0,0,0,9.5875,,S
1,1,Mr,0,25.0,1,0,91.0792,B,C
0,3,Miss,1,,3,1,25.4667,,S
1,1,Mrs,1,35.0,1,0,90.0,C,S
0,1,Mr,0,58.0,0,0,29.7,B,C
0,3,Mr,0,30.0,0,0,8.05,,S
1,3,Master,0,9.0,1,1,15.9,,S
0,3,Mr,0,,1,0,19.9667,,S
0,3,Mr,0,21.0,0,0,7.25,,S
0,1,Mr,0,55.0,0,0,30.5,C,S
0,1,Mr,0,71.0,0,0,49.5042,,C
0,3,Mr,0,21.0,0,0,8.05,,S
0,3,Mr,0,,0,0,14.4583,,C
1,1,Miss,1,54.0,1,0,78.2667,D,C
0,3,Mr,0,,0,0,15.1,,S
0,1,Mrs,1,25.0,1,2,151.55,C,S
0,3,Mr,0,24.0,0,0,7.7958,,S
0,3,Mr,0,17.0,0,0,8.6625,,S
0,3,Miss,1,21.0,0,0,7.75,,Q
0,3,Miss,1,,0,0,7.6292,,Q
0,3,Miss,1,37.0,0,0,9.5875,,S
1,1,Miss,1,16.0,0,0,86.5,B,S
0,1,Mr,0,18.0,1,0,108.9,C,C
1,2,Mrs,1,33.0,0,2,26.0,,S
1,1,Mr,0,,0,0,26.55,,S
0,3,Mr,0,28.0,0,0,22.525,,S
1,3,Mr,0,26.0,0,0,56.4958,,S
1,3,Mr,0,29.0,0,0,7.75,,Q
0,3,Mr,0,,0,0,8.05,,S
1,1,Mr,0,36.0,0,0,26.2875,E,S
1,1,Mrs,1,54.0,1,0,59.4,,C
0,3,Mr,0,24.0,0,0,7.4958,,S
0,1,Mr,0,47.0,0,0,34.0208,D,S
1,2,Mrs,1,34.0,0,0,10.5,F,S
0,3,Mr,0,,0,0,24.15,,Q
1,2,Mrs,1,36.0,1,0,26.0,,S
0,3,Mr,0,32.0,0,0,7.8958,,S
1,1,Miss,1,30.0,0,0,93.5,B,S
0,3,Mr,0,22.0,0,0,7.8958,,S
0,3,Mr,0,,0,0,7.225,,C
1,1,Mrs,1,44.0,0,1,57.9792,B,C
0,3,Mr,0,,0,0,7.2292,,C
0,3,Mr,0,40.5,0,0,7.75,,Q
1,2,Miss,1,50.0,0,0,10.5,,S
0,1,Mr,0,,0,0,221.7792,C,S
0,3,Mr,0,39.0,0,0,7.925,,S
0,2,Mr,0,23.0,2,1,11.5,,S
1,2,Miss,1,2.0,1,1,26.0,,S
0,3,Mr,0,,0,0,7.2292,,C
0,3,Mr,0,17.0,1,1,7.2292,,C
1,3,Mrs,1,,0,2,22.3583,,C
0,3,Miss,1,30.0,0,0,8.6625,,S
1,2,Miss,1,7.0,0,2,26.25,,S
0,1,Military,0,45.0,0,0,26.55,B,S
1,1,Miss,1,30.0,0,0,106.425,,C
0,3,Mr,0,,0,0,14.5,,S
1,1,Miss,1,22.0,0,2,49.5,B,C
1,1,Miss,1,36.0,0,2,71.0,B,S
0,3,Miss,1,9.0,4,2,31.275,,S
0,3,Miss,1,11.0,4,2,31.275,,S
1,2,Mr,0,32.0,1,0,26.0,,S
0,1,Mr,0,50.0,1,0,106.425,C,C
0,1,Mr,0,64.0,0,0,26.0,,S
1,2,Mrs,1,19.0,1,0,26.0,,S
1,2,Mr,0,,0,0,13.8625,,C
0,3,Mr,0,33.0,1,1,20.525,,S
1,2,Master,0,8.0,1,1,36.75,,S
1,1,Mr,0,17.0,0,2,110.8833,C,C
0,2,Mr,0,27.0,0,0,26.0,,S
0,3,Mr,0,,0,0,7.8292,,Q
1,3,Mr,0,22.0,0,0,7.225,,C
