age,workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,label,pa
25.0,Private,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,0.0,0.0,35.0,,0,1
57.0,,Bachelors,13.0,,Prof-specialty,,,0.0,0.0,40.0,,1,1
53.0,Private,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,0.0,0.0,38.0,United-States,0,1
44.0,Private,Masters,14.0,,Exec-managerial,Unmarried,White,0.0,0.0,40.0,,0,0
41.0,,,11.0,Married-civ-spouse,Craft-repair,Husband,White,0.0,0.0,40.0,United-States,0,1
29.0,Private,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,0.0,0.0,43.0,United-States,0,1
25.0,Private,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,,0.0,0.0,40.0,United-States,0,0
18.0,Private,HS-grad,9.0,Never-married,Other-service,Own-child,White,0.0,0.0,30.0,,0,0
47.0,,Prof-school,,Married-civ-spouse,Prof-specialty,,White,0.0,1902.0,60.0,Honduras,1,0
50.0,Federal-gov,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,0.0,,55.0,United-States,1,1
47.0,,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,0.0,0.0,60.0,United-States,0,1
43.0,Private,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,0.0,0.0,40.0,United-States,1,1
46.0,Private,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,0.0,0.0,40.0,Mexico,0,1
35.0,Private,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,,0.0,0.0,40.0,,0,1
41.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,0.0,0.0,48.0,United-States,0,1
,Private,HS-grad,9.0,Married-civ-spouse,,Husband,White,5013.0,0.0,40.0,United-States,0,1
30.0,Private,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,2407.0,0.0,40.0,,0,1
32.0,,7th-8th,4.0,Married-spouse-absent,,Not-in-family,,0.0,0.0,40.0,,0,1
48.0,Private,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,,0.0,,United-States,0,1
42.0,Private,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,45.0,United-States,1,1
29.0,Private,Some-college,,Divorced,Tech-support,Not-in-family,White,0.0,0.0,58.0,United-States,0,1
36.0,Private,,9.0,Married-civ-spouse,Craft-repair,Husband,White,0.0,0.0,40.0,United-States,0,1
,Private,Some-college,10.0,,Adm-clerical,Not-in-family,White,0.0,0.0,,United-States,0,0
53.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,0.0,0.0,40.0,United-States,1,0
,Self-emp-inc,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,0.0,0.0,50.0,United-States,1,1
25.0,,Some-college,10.0,Never-married,,Own-child,White,0.0,0.0,40.0,United-States,0,1
19.0,Private,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,,0.0,32.0,United-States,0,1
31.0,,,13.0,Separated,Sales,Own-child,Black,0.0,0.0,40.0,United-States,0,0
29.0,Self-emp-not-inc,,13.0,Married-civ-spouse,Sales,Husband,White,0.0,0.0,70.0,United-States,1,1
23.0,Private,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,,,40.0,United-States,0,1
79.0,Private,Some-college,10.0,Married-civ-spouse,Prof-specialty,Other-relative,White,0.0,,20.0,United-States,0,1
27.0,Private,HS-grad,9.0,,,Own-child,White,0.0,0.0,40.0,Mexico,0,1
40.0,Private,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,White,0.0,0.0,40.0,United-States,0,1
67.0,,10th,6.0,Married-civ-spouse,,Husband,White,0.0,0.0,2.0,United-States,0,1
18.0,Private,11th,7.0,Never-married,Other-service,Own-child,White,0.0,0.0,22.0,United-States,0,0
31.0,Local-gov,7th-8th,,Married-civ-spouse,,Husband,White,0.0,0.0,40.0,United-States,0,1
18.0,Private,HS-grad,9.0,Never-married,Sales,Not-in-family,White,0.0,0.0,,United-States,0,1
52.0,,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,White,0.0,0.0,40.0,Cuba,0,1
46.0,Private,HS-grad,9.0,,,Wife,White,0.0,,40.0,United-States,0,0
59.0,Private,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,0.0,0.0,48.0,United-States,0,1
44.0,Private,HS-grad,9.0,Divorced,,Not-in-family,White,14344.0,0.0,40.0,United-States,1,0
53.0,Private,HS-grad,9.0,Divorced,Sales,Own-child,White,,0.0,35.0,United-States,0,0
49.0,Local-gov,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,0.0,0.0,40.0,United-States,1,1
,Private,Masters,,Married-civ-spouse,Prof-specialty,Husband,White,0.0,0.0,50.0,United-States,0,1
30.0,Private,,,Never-married,Sales,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
43.0,Federal-gov,Doctorate,,Never-married,Prof-specialty,Not-in-family,White,0.0,0.0,50.0,United-States,1,0
,Private,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,,0.0,40.0,United-States,0,1
37.0,Private,Some-college,10.0,Divorced,Craft-repair,Unmarried,White,0.0,0.0,40.0,United-States,0,0
28.0,Private,Some-college,10.0,Divorced,Machine-op-inspct,Unmarried,Black,0.0,0.0,25.0,,0,0
30.0,Private,HS-grad,,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,0.0,1573.0,,,0,0
34.0,Local-gov,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,0.0,0.0,,United-States,1,1
29.0,Local-gov,Some-college,10.0,Never-married,,Not-in-family,White,0.0,0.0,50.0,United-States,0,1
48.0,Self-emp-not-inc,,16.0,Married-civ-spouse,Prof-specialty,Husband,White,,1902.0,60.0,United-States,1,1
37.0,Private,Some-college,10.0,Married-civ-spouse,,Husband,White,0.0,0.0,,United-States,1,1
48.0,Private,,12.0,,Exec-managerial,Unmarried,White,,0.0,40.0,England,0,0
32.0,Federal-gov,HS-grad,9.0,Never-married,Other-service,Own-child,Black,0.0,0.0,,United-States,0,1
76.0,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,0.0,0.0,40.0,United-States,1,1
44.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,,White,15024.0,0.0,60.0,,1,1
47.0,Self-emp-not-inc,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,0.0,0.0,50.0,United-States,0,0
20.0,Private,Some-college,10.0,Never-married,Tech-support,Own-child,White,0.0,0.0,40.0,United-States,0,0
29.0,Private,HS-grad,,Never-married,Craft-repair,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
32.0,Self-emp-inc,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,,0.0,40.0,United-States,1,1
17.0,,10th,6.0,Never-married,,Own-child,White,34095.0,0.0,32.0,United-States,0,0
30.0,Private,,7.0,Never-married,Handlers-cleaners,Own-child,White,0.0,0.0,40.0,United-States,0,1
,Local-gov,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,0.0,0.0,40.0,United-States,0,0
42.0,Private,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,0.0,0.0,40.0,United-States,0,1
24.0,,Bachelors,,Never-married,Sales,Other-relative,White,0.0,0.0,40.0,,0,1
38.0,Private,Prof-school,,Married-civ-spouse,Prof-specialty,Husband,White,0.0,0.0,40.0,United-States,1,1
56.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,0.0,1887.0,50.0,Canada,1,1
28.0,Private,Some-college,10.0,Married-civ-spouse,Sales,Wife,White,,0.0,25.0,United-States,0,0
36.0,Private,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,,,0.0,40.0,United-States,0,0
,Private,9th,5.0,Married-civ-spouse,,Husband,White,0.0,0.0,50.0,United-States,0,1
56.0,Self-emp-inc,Some-college,10.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,50.0,United-States,0,1
49.0,Local-gov,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,Black,0.0,0.0,40.0,,1,1
55.0,Private,Some-college,10.0,Married-civ-spouse,,,White,,0.0,56.0,United-States,0,1
,Private,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,0.0,0.0,41.0,United-States,0,1
21.0,,Some-college,10.0,Never-married,Other-service,Own-child,White,0.0,0.0,40.0,United-States,0,0
40.0,Private,Bachelors,,Married-civ-spouse,Exec-managerial,Husband,White,,0.0,60.0,United-States,0,1
30.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Own-child,,0.0,0.0,40.0,Germany,0,1
29.0,State-gov,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,,0.0,50.0,United-States,1,1
,,Some-college,10.0,Never-married,,Own-child,Black,0.0,0.0,35.0,United-States,0,1
47.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,0.0,0.0,40.0,United-States,1,0
,Private,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,0.0,1719.0,28.0,United-States,0,0
31.0,Private,Assoc-acdm,,,Adm-clerical,,White,,0.0,40.0,United-States,1,1
35.0,,HS-grad,9.0,Married-civ-spouse,,Husband,White,0.0,0.0,,United-States,0,1
39.0,Private,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
28.0,Private,Assoc-acdm,12.0,Never-married,Sales,,White,0.0,0.0,60.0,United-States,0,0
,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,0.0,1762.0,40.0,United-States,0,0
38.0,Self-emp-not-inc,HS-grad,9.0,,Craft-repair,Husband,White,4386.0,0.0,35.0,United-States,0,1
37.0,Private,Bachelors,,Married-civ-spouse,Sales,Husband,White,0.0,0.0,50.0,United-States,0,1
,Private,Assoc-acdm,12.0,Divorced,Tech-support,,Black,0.0,,36.0,United-States,0,0
38.0,Federal-gov,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,0.0,0.0,40.0,Iran,1,1
43.0,,,9.0,,Craft-repair,Husband,White,0.0,0.0,60.0,,0,1
27.0,Private,Assoc-voc,11.0,,Adm-clerical,Wife,White,0.0,0.0,35.0,United-States,0,0
20.0,Private,Some-college,10.0,Never-married,Sales,Own-child,White,0.0,0.0,20.0,United-States,0,1
49.0,Private,Some-college,,Married-civ-spouse,,Husband,Asian-Pac-Islander,0.0,0.0,40.0,United-States,1,1
61.0,Self-emp-inc,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,40.0,United-States,0,1
27.0,,Some-college,10.0,Never-married,Sales,Own-child,White,,0.0,40.0,United-States,0,0
,,Some-college,10.0,Never-married,Other-service,Own-child,White,0.0,0.0,30.0,Mexico,0,1
45.0,Private,,11.0,Never-married,Prof-specialty,,,0.0,1564.0,40.0,United-States,1,0
70.0,Private,Some-college,10.0,Never-married,Tech-support,,White,0.0,0.0,40.0,United-States,0,1
31.0,Private,HS-grad,9.0,Never-married,Transport-moving,Unmarried,,0.0,0.0,30.0,United-States,0,0
22.0,Private,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,0.0,0.0,24.0,United-States,0,1
36.0,Private,HS-grad,9.0,Widowed,Other-service,Unmarried,White,0.0,0.0,24.0,United-States,0,0
64.0,Private,,7.0,Married-civ-spouse,Craft-repair,Husband,White,,2179.0,40.0,United-States,0,1
43.0,,Some-college,10.0,Divorced,,Not-in-family,White,0.0,0.0,40.0,United-States,0,0
47.0,Local-gov,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,0.0,0.0,38.0,,0,0
34.0,Private,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,0.0,0.0,40.0,United-States,0,0
33.0,Private,Bachelors,13.0,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,,0.0,40.0,Philippines,0,0
21.0,Private,HS-grad,,Never-married,Craft-repair,Own-child,White,0.0,0.0,35.0,United-States,0,1
52.0,,HS-grad,9.0,Divorced,,,White,0.0,,45.0,United-States,1,1
48.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,0.0,0.0,46.0,United-States,0,1
23.0,Private,Bachelors,13.0,Never-married,Handlers-cleaners,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
71.0,,Some-college,,Separated,Sales,Unmarried,,0.0,1816.0,2.0,,0,1
29.0,Private,HS-grad,9.0,Divorced,Craft-repair,,White,0.0,0.0,60.0,United-States,0,1
42.0,Private,Bachelors,13.0,Separated,Other-service,Other-relative,Black,0.0,0.0,50.0,United-States,0,1
68.0,,1st-4th,2.0,Divorced,,Not-in-family,White,0.0,0.0,20.0,United-States,0,0
25.0,Private,HS-grad,9.0,Never-married,Other-service,Unmarried,White,0.0,0.0,40.0,United-States,0,0
44.0,Self-emp-inc,Masters,14.0,,Exec-managerial,Unmarried,Asian-Pac-Islander,0.0,,,United-States,0,0
28.0,Private,HS-grad,9.0,Never-married,,Not-in-family,Asian-Pac-Islander,,0.0,40.0,England,0,0
45.0,Self-emp-not-inc,Masters,14.0,Married-civ-spouse,Sales,Husband,White,0.0,0.0,40.0,United-States,1,1
36.0,Private,Some-college,10.0,Divorced,Other-service,,White,0.0,,40.0,Mexico,0,0
39.0,Federal-gov,Assoc-acdm,12.0,Never-married,Exec-managerial,Not-in-family,White,,0.0,42.0,United-States,0,1
46.0,State-gov,Masters,,Widowed,Protective-serv,Unmarried,White,0.0,0.0,40.0,United-States,0,1
18.0,Private,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,0.0,0.0,16.0,United-States,0,1
66.0,Local-gov,Assoc-voc,11.0,Widowed,Prof-specialty,Not-in-family,White,0.0,0.0,,United-States,0,0
27.0,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,0.0,1980.0,40.0,United-States,0,1
28.0,State-gov,HS-grad,9.0,Married-civ-spouse,,Husband,White,0.0,,40.0,United-States,0,1
51.0,Private,Some-college,10.0,Married-civ-spouse,Sales,,White,,1977.0,40.0,United-States,1,1
27.0,Private,Bachelors,13.0,Never-married,Craft-repair,Not-in-family,White,0.0,0.0,50.0,United-States,0,1
28.0,State-gov,,13.0,Married-civ-spouse,Prof-specialty,Husband,White,0.0,0.0,40.0,United-States,1,1
27.0,Private,HS-grad,9.0,Married-spouse-absent,Sales,Unmarried,White,0.0,0.0,25.0,United-States,0,0
21.0,Private,HS-grad,9.0,Never-married,,Own-child,Black,0.0,0.0,40.0,United-States,0,1
34.0,Private,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,Black,0.0,0.0,40.0,United-States,0,1
,Private,HS-grad,9.0,,Other-service,Own-child,White,0.0,0.0,12.0,United-States,0,1
,Private,Bachelors,13.0,Married-civ-spouse,,Husband,White,0.0,0.0,65.0,United-States,0,1
,,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,0.0,0.0,38.0,United-States,1,1
43.0,Private,Some-college,10.0,,Adm-clerical,Not-in-family,White,0.0,0.0,40.0,United-States,0,0
30.0,Private,Some-college,10.0,Never-married,Craft-repair,Not-in-family,Black,0.0,0.0,45.0,United-States,0,1
40.0,Private,,4.0,,Machine-op-inspct,Husband,White,0.0,0.0,40.0,,1,1
37.0,Federal-gov,Some-college,10.0,Married-civ-spouse,Adm-clerical,,White,0.0,0.0,42.0,United-States,1,1
34.0,Private,HS-grad,9.0,Married-civ-spouse,,Husband,Black,0.0,0.0,40.0,United-States,0,1
41.0,,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,0.0,0.0,40.0,United-States,0,0
53.0,,Bachelors,13.0,Divorced,,,White,0.0,0.0,50.0,United-States,0,0
31.0,Private,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,0.0,0.0,,United-States,0,0
58.0,State-gov,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,0.0,0.0,1.0,United-States,1,1
38.0,Private,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,Black,,0.0,28.0,United-States,0,0
24.0,Private,,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,0.0,0.0,40.0,United-States,0,1
41.0,Local-gov,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,Black,0.0,,40.0,United-States,0,1
47.0,Private,Some-college,,Married-civ-spouse,,Husband,White,0.0,0.0,45.0,,0,1
41.0,Federal-gov,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,0.0,0.0,24.0,United-States,0,1
23.0,Private,5th-6th,,Married-civ-spouse,Transport-moving,Other-relative,White,0.0,0.0,40.0,Mexico,0,1
36.0,,Some-college,,Divorced,Craft-repair,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
40.0,Federal-gov,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,14084.0,0.0,55.0,United-States,1,0
35.0,Private,Masters,,,Prof-specialty,Other-relative,,7298.0,0.0,40.0,United-States,1,1
,Self-emp-not-inc,HS-grad,9.0,,Sales,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
26.0,Private,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,0.0,1876.0,40.0,United-States,0,0
19.0,,HS-grad,9.0,Never-married,,Own-child,White,0.0,0.0,40.0,Italy,0,1
51.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,0.0,0.0,50.0,United-States,1,1
42.0,Local-gov,Some-college,,Never-married,Prof-specialty,Not-in-family,White,0.0,1340.0,40.0,United-States,0,0
,State-gov,HS-grad,9.0,Divorced,Adm-clerical,,White,0.0,0.0,35.0,,0,0
18.0,,11th,7.0,Never-married,Sales,Own-child,White,0.0,0.0,40.0,United-States,0,0
36.0,Private,Bachelors,13.0,Married-civ-spouse,Other-service,,Black,,0.0,36.0,United-States,1,1
35.0,Private,HS-grad,9.0,Divorced,,Not-in-family,White,0.0,0.0,60.0,United-States,0,1
58.0,Self-emp-inc,HS-grad,9.0,Married-civ-spouse,,Wife,,15024.0,0.0,35.0,United-States,1,0
,Private,11th,7.0,Never-married,Sales,Own-child,White,0.0,,12.0,United-States,0,0
,Local-gov,HS-grad,,Married-civ-spouse,Transport-moving,Husband,Black,0.0,0.0,40.0,United-States,0,1
37.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,0.0,0.0,40.0,,1,1
35.0,Private,Some-college,10.0,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,0.0,0.0,40.0,United-States,0,0
60.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,0.0,0.0,40.0,United-States,0,1
54.0,Self-emp-inc,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,White,0.0,0.0,40.0,United-States,1,1
,Private,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,Black,0.0,0.0,60.0,United-States,1,1
50.0,Private,Assoc-acdm,12.0,Divorced,Sales,Not-in-family,White,,0.0,40.0,United-States,0,0
38.0,Private,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,0.0,0.0,50.0,Poland,0,1
45.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,0.0,0.0,55.0,United-States,0,1
25.0,Private,10th,,Never-married,Craft-repair,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
31.0,Private,Some-college,10.0,,Handlers-cleaners,Husband,White,0.0,0.0,40.0,United-States,0,1
64.0,,1st-4th,2.0,,,Not-in-family,White,0.0,,40.0,United-States,0,1
90.0,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,Black,0.0,2206.0,,United-States,0,1
,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,Black,0.0,0.0,20.0,United-States,0,1
,Local-gov,Preschool,1.0,Never-married,Machine-op-inspct,Not-in-family,White,0.0,0.0,35.0,,0,0
18.0,Private,HS-grad,9.0,Never-married,Sales,Own-child,,0.0,0.0,40.0,United-States,0,0
60.0,,10th,6.0,,,Not-in-family,Amer-Indian-Eskimo,0.0,,10.0,United-States,0,0
66.0,Self-emp-not-inc,HS-grad,9.0,,Farming-fishing,Husband,White,1409.0,,,,0,1
75.0,Private,Assoc-voc,11.0,Widowed,Adm-clerical,Not-in-family,White,,0.0,,Columbia,0,0
,Private,HS-grad,9.0,,Adm-clerical,Not-in-family,White,0.0,,40.0,United-States,0,0
35.0,Private,11th,7.0,Separated,Transport-moving,Not-in-family,Black,3674.0,0.0,40.0,United-States,0,1
41.0,Private,HS-grad,,Divorced,Sales,Unmarried,Black,0.0,0.0,38.0,United-States,0,0
25.0,Private,Some-college,10.0,Never-married,,Not-in-family,White,0.0,0.0,42.0,United-States,0,1
33.0,Private,,10.0,,Craft-repair,Other-relative,Other,0.0,0.0,40.0,United-States,0,0
28.0,Private,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,0.0,0.0,,United-States,1,1
59.0,State-gov,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,0.0,0.0,40.0,United-States,0,1
40.0,State-gov,Some-college,10.0,Never-married,,Not-in-family,White,0.0,0.0,38.0,United-States,0,0
41.0,Private,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,50.0,Iran,1,1
38.0,Local-gov,Masters,,Married-civ-spouse,Exec-managerial,Husband,White,0.0,0.0,70.0,United-States,1,1
23.0,Private,HS-grad,9.0,Never-married,Transport-moving,,White,0.0,0.0,40.0,United-States,0,1
40.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,,White,0.0,0.0,40.0,United-States,1,1
41.0,Self-emp-not-inc,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,0.0,0.0,20.0,United-States,0,0
24.0,State-gov,Assoc-acdm,12.0,,Protective-serv,Husband,White,0.0,0.0,50.0,United-States,0,1
20.0,,Some-college,10.0,,,,White,0.0,0.0,20.0,United-States,0,1
38.0,Private,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,0.0,1741.0,40.0,United-States,0,1
56.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,0.0,0.0,35.0,,0,1
58.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,0.0,0.0,45.0,United-States,1,1
32.0,Private,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,0.0,0.0,34.0,,0,0
40.0,Private,Assoc-acdm,12.0,Married-civ-spouse,Tech-support,,White,0.0,,60.0,United-States,1,1
45.0,Private,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,0.0,0.0,40.0,,0,1
41.0,Private,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Wife,White,0.0,0.0,40.0,,1,0
